names,my_rating,mechanic,category,weight
Gloomhaven,5,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures",3.7543
Puerto Rico,2,Variable Phase Order,"City Building, Economic, Farming",3.2932
Agricola,2,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement","Animals, Economic, Farming",3.6326
Viticulture Essential Edition,2,"Hand Management, Variable Phase Order, Worker Placement","Economic, Farming",2.9307
Arkham Horror: The Card Game,5,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based",3.2205
Mansions of Madness: Second Edition,6,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",2.6623
Concordia,2,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement","Ancient, Economic, Nautical",3.1076
Brass: Lancashire,2,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation",3.8757
Robinson Crusoe: Adventures on the Cursed Island,1,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement","Adventure, Exploration, Fighting, Novel-based",3.7333
Azul,5,"Pattern Building, Set Collection, Tile Placement",Abstract Strategy,1.8458
7 Wonders,6,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization",2.3429
Codenames,6,"Memory, Partnerships, Press Your Luck","Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",1.3303
Spirit Island,3,"Card Drafting, Co-operative Play, Hand Management, Modular Board, Simultaneous Action Selection, Variable Player Powers","Age of Reason, Environmental, Fantasy, Fighting, Mythology, Renaissance, Territory Building",3.8696
Eldritch Horror,6,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Novel-based",3.3129
T.I.M.E Stories,10,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers","Adventure, Mature / Adult, Puzzle, Science Fiction",2.6464
Lords of Waterdeep,7,"Set Collection, Take That, Worker Placement","City Building, Fantasy",2.4908
Clank!: A Deck-Building Adventure,9,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck","Adventure, Fantasy",2.2335
Dead of Winter: A Crossroads Game,8,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting","Bluffing, Deduction, Horror, Zombies",3.0008
Pandemic,2,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",Medical,2.4258
